Biomarker	Condition	label
28264149::span:12:37	28264149::span:135:150	1
28264149::span:479:483	28264149::span:135:150	1
28264149::span:553:561	28264149::span:135:150	1
28264149::span:707:714	28264149::span:135:150	1
28264149::span:805:809	28264149::span:135:150	1
28264149::span:1135:1143	28264149::span:135:150	1
28264149::span:1295:1299	28264149::span:135:150	1
28264149::span:1473:1477	28264149::span:135:150	1
28264149::span:1722:1726	28264149::span:135:150	1
28264149::span:1815:1828	28264149::span:135:150	1
28264149::span:1838:1846	28264149::span:135:150	1
28264149::span:1940:1942	28264149::span:135:150	1
28264063::span:920:950	28264063::span:47:84	1
28264063::span:920:950	28264063::span:516:553	1
28264063::span:920:950	28264063::span:556:559	1
28264063::span:920:950	28264063::span:599:602	1
28264063::span:920:950	28264063::span:1371:1374	1
28264063::span:920:950	28264063::span:2075:2078	1
28264063::span:953:956	28264063::span:47:84	1
28264063::span:953:956	28264063::span:516:553	1
28264063::span:953:956	28264063::span:556:559	1
28264063::span:953:956	28264063::span:599:602	1
28264063::span:953:956	28264063::span:1371:1374	1
28264063::span:953:956	28264063::span:2075:2078	1
28264063::span:1074:1077	28264063::span:47:84	1
28264063::span:1074:1077	28264063::span:516:553	1
28264063::span:1074:1077	28264063::span:556:559	1
28264063::span:1074:1077	28264063::span:599:602	1
28264063::span:1074:1077	28264063::span:1371:1374	1
28264063::span:1074:1077	28264063::span:2075:2078	1
28264063::span:1408:1411	28264063::span:47:84	1
28264063::span:1408:1411	28264063::span:516:553	1
28264063::span:1408:1411	28264063::span:556:559	1
28264063::span:1408:1411	28264063::span:599:602	1
28264063::span:1408:1411	28264063::span:1371:1374	1
28264063::span:1408:1411	28264063::span:2075:2078	1
28264063::span:1658:1661	28264063::span:47:84	1
28264063::span:1658:1661	28264063::span:516:553	1
28264063::span:1658:1661	28264063::span:556:559	1
28264063::span:1658:1661	28264063::span:599:602	1
28264063::span:1658:1661	28264063::span:1371:1374	1
28264063::span:1658:1661	28264063::span:2075:2078	1
28264009::span:47:53	28264009::span:802:842	1
28264009::span:47:53	28264009::span:960:980	1
28264009::span:47:53	28264009::span:1334:1354	1
28264009::span:245:266	28264009::span:802:842	1
28264009::span:245:266	28264009::span:960:980	1
28264009::span:245:266	28264009::span:1334:1354	1
28264009::span:269:275	28264009::span:802:842	1
28264009::span:269:275	28264009::span:960:980	1
28264009::span:269:275	28264009::span:1334:1354	1
28264009::span:409:415	28264009::span:802:842	1
28264009::span:409:415	28264009::span:960:980	1
28264009::span:409:415	28264009::span:1334:1354	1
28264009::span:802:842	28264009::span:47:53	1
28264009::span:802:842	28264009::span:245:266	1
28264009::span:802:842	28264009::span:269:275	1
28264009::span:802:842	28264009::span:409:415	1
28264009::span:960:980	28264009::span:47:53	1
28264009::span:960:980	28264009::span:245:266	1
28264009::span:960:980	28264009::span:269:275	1
28264009::span:960:980	28264009::span:409:415	1
28264009::span:1334:1354	28264009::span:47:53	1
28264009::span:1334:1354	28264009::span:245:266	1
28264009::span:1334:1354	28264009::span:269:275	1
28264009::span:1334:1354	28264009::span:409:415	1
28264009::span:47:53	28264009::span:61:72	1
28264009::span:47:53	28264009::span:380:398	1
28264009::span:47:53	28264009::span:401:402	1
28264009::span:47:53	28264009::span:535:536	1
28264009::span:245:266	28264009::span:61:72	1
28264009::span:245:266	28264009::span:380:398	1
28264009::span:245:266	28264009::span:401:402	1
28264009::span:245:266	28264009::span:535:536	1
28264009::span:269:275	28264009::span:61:72	1
28264009::span:269:275	28264009::span:380:398	1
28264009::span:269:275	28264009::span:401:402	1
28264009::span:269:275	28264009::span:535:536	1
28264009::span:409:415	28264009::span:61:72	1
28264009::span:409:415	28264009::span:380:398	1
28264009::span:409:415	28264009::span:401:402	1
28264009::span:409:415	28264009::span:535:536	1
